quote,author,category
"If you are still breathing, do not stop learning.",Lailah Gifty Akita,"education, learning, life, motivation, personal-development"
"You have not studied the histories of ancient times, and perhaps know not the life that breathes in them; a soul of beauty and wisdom which had penetrated my heart of hearts.","Mary Wollstonecraft Shelley, Valperga: Or, the Life and Adventures of Castruccio, Prince of Lucca","antiquity, history, reading, rome"
John: 'Have mercy. I don't want to die!'Sita: 'Then you should never have been born.,"Christopher Pike, Phantom","death, sita"
Without the will or desire to achieve one is like flotsam on the oceans of time.,"Steven Redhead, Life Is Simply A Game","achieve, desire, time, willpower"
"The aim of science is not to open the door to infinite wisdom, but to set a limit to infinite error.","Bertolt Brecht, Life of Galileo","error, science"
As repressed sadists are supposed to become policemen or butchers so those with an irrational fear of life become publishers.,Cyril Connolly,"life, become, irrational "
War makes rattling good history  but Peace is poor reading.,Thomas Hardy,"history, historians"
When you come out of the storm you won't be the same person that walked in. That's what the storm is all about.,Haruki Murakami,"life, purpose, sad"
"People must make make risks, must make mess in their life's. They must make make mistakes, they must think - This is the part of the proccess ""learning""!",Deyth Banger,"business, learning, make, proccess, thinking"
It is never too late to be what you might have been.,George Eliot,positive
"One cannot get rid of a good education, nor, unfortunately, of a bad one, which often is such because one has not wanted to defray the expenses of a good one.",Denis Diderot,"college, education, private-schools, university"
"With the strength of grace, we can survive any situation.",Lailah Gifty Akita,"dont-quit, grace, motivational, overcomer, positive-outlook"
"Frisbeetarianism is the belief that when you die, your soul goes up on the roof and gets stuck.",George Carlin,"soul, belief, you "
"Life, wherever it leads,Will always be the same,It begs for the best of you.",Scott Hastie,"always, begs, best, lead, life"
Experience is the only subject worthwhile of study.,Lailah Gifty Akita," education, experiences, inspirational, learning, study"
"As long as you know men are like children, you know everything!",Coco Chanel,"children, long, know "
Great companies are built on great products.,Elon Musk,"great, products, built "
Do not take the grace of God for granted.,Lailah Gifty Akita,"advice, christian, god, grace, inspiring"
"So holding many factors constant, we find that living in a civilization reduces one’s chances of being a victim of violence fivefold.","Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined","history, reduce, victim, violence"
Emotions don't distract high performers.,"Abhishek Ratna, No Parking. No Halt. Success Non Stop!","emotions, high-performance, success, success, success-strategies"
Reading is more important than writing.,"Roberto Bolaño, The Last Interview and Other Conversations",reading
"A deeper intimacy with God sharpens our awareness of sin, which causes a stronger need for grace and a freer offering of mercy.","Alisa Hope Wagner, Eve of Awakening","christianity, faith, god, grace, mercy"
The pleasure of reading is the greatest solitude.,"Lailah Gifty Akita, Think Great: Be Great!","ambition, books, books, bookshelves, bookstores"
All businesses begin and end with their company culture.,"Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur","business, business, company-culture, leadership"
Immature love says: 'I love you because I need you.' Mature love says 'I need you because I love you.',Erich Fromm,"i love you, you, immature "
Why would anyone want perfection when growth comes from flaws?,Shannon L. Alder,"expectations, flaws, friendships, life, perfection"
Work on what is real rather than worry about what is unreal.,"Elizabeth George, Loving God with All Your Mind","care, christian, fake, god, inspire"
"The Man in Black fled across the desert, and the Gunslinger followed","Stephen King, The Gunslinger"," fiction, inspirational"
Hope does not leave without being given permission.,Rick Riordan,"hope, inspirational-life, percy-jackson, philosophy"
There is a difference between working hard to create a life that truly serves you and working hard to create a life that you’ve been told you should want.,"Vironika Tugaleva, The Love Mindset","authentic-self, authenticity, inspiration, passion, passionate-living"
"But beauty, real beauty, ends where an intellectual expression begins. Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.","Oscar Wilde, The Picture of Dorian Gray",beauty
"as they die, the ones we love, we lose our witnesses, our watchers, those who know and understand the tiny little meaningless patterns, those words drawn in water with a stick. And there is nothing left but the endless flow.",Anne Rice,"anne-rice, dead, love"
Chance is perhaps the pseudonym of God when he did not want to sign.,Anatole France,"god, want, sign "
"To be effective in fulfilling your goals, you must break them down into little tasks and then spend most of your time working on the task in front of you, instead of being overwhelmed by the enormity of the big goal.","Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","calling, conversion, convert, effectiveness, enormity"
"The Curious Case of Benjamin Button"", great story, great film.",Deyth Banger,"benjamin-button, book, film, great, story"
"Women, we might as well be dogs baying the moon as petitioners without the right to vote!",Susan B. Anthony,"history, moon, vote "
"Learn to handle books, you will learn how to enjoy life.","Aman Jassal, Rainbow - the shades of love","book-lover, book-lovers, book-quote, book, books"
"There are many more books to read, when will I finish reading?","Lailah Gifty Akita, Think Great: Be Great!","advice, books, education, inspirational-life, life"
"... you should never give yourself a chance to fall apart because, when you do, it becomes a tendency and it happens over and over again. You must practice staying strong, instead.","Elizabeth Gilbert, Eat, Pray, Love","life, strength"
Our most important problem is that we can talk to express our thoughts.,Debasish Mridha,"debasish-mridha, important-problem, inspirational, life-problem, philosophy"
"I am the seeker of love, I am the giver of love, and I became the love.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"Scarlett kicked the coverlet in impotent rage, trying to think of something bad enough to say.'God's nightgown!' she cried at last, and felt somewhat relieved.","Margaret Mitchell, Gone with the Wind","bad, god, impotent, nightgown, rage"
"Transition isn't pretty, but stagnation is hideous.",Nikki Rowe,"authentic, better-yourself, compassion, growth, guidance"
And this that you call solitude is in fact a big crowd.,"Dejan Stojanovic, The Shape","crowd, crowds, dejan-stojanovic, literature, literature"
Great struggles make for great stories.,Sanober  Khan,"great-expectations, greatness, hope, inspirational, inspirational"
"Wherever you go, go with love.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
Thank God for imminent doomsday.,"Jim Butcher, Cold Days","apocalypse, doomsday, humor"
Only loving people who love you isn’t profitable,Sunday Adelaja,"calling, destiny, employment, god, honoring-god"
Whitney Houston’s cover of “I Will Always Love You” was constantly on my FM Walkman radio around that time. I think that made me cry because I associated it with absolutely no one.,"Tina Fey, Bossypants","funny, humor, whitney-houston"
You have to grow. You have to be. You have to love yourself unconditionally.,Dominic Riccitello,"becoming, grow, growing, love, love-yourself"
You can't learn everything you need to know legally.,"John Irving, A Widow for One Year","education, learning, legality, life-lessons"
"When truth has no burning, then it is philosophy, when it gets burning from the heart, it becomes poetry.",Muhammad Iqbal,"heart, poetry, philosophy "
"No coward soul is mine,No trembler in the world's storm-troubled sphere:I see heaven's glories shine,And faith shines equal, arming me from fear",Emily Brontë,"faith, inspirational"
Glory to the the Great God!,Lailah Gifty Akita,"christianity, faith, glory, god, religion"
With the world's fate resting on your shoulder - you're gonna need someone on your side.You can't do it by yourself any longer - you're gonna need someone on your side.,Morrissey,"friendship, humor, life, lyrics, music"
"If only I could change the world around me, perhaps my truth won’t one day be the end of me.","Dan Pearce, Single Dad Laughing","bisexual, bisexuality, coming-out, homosexuality, love"
Honoring your word is the fiber from which trust is built.,David W. Earle,"chaos, dysfunctional, dysfunctional-families, families, love"
"It is not giving up, it is accepting. And the light will enter. Always does.","Kamal Ravikant, Live Your Truth","acceptance, inspiration, motivation, self-help"
"It was a prayer that he had never said before, because it was a prayer without words or pleas.",Paulo Coelho,prayer
Suffering is the sorrow of joy.,Lailah Gifty Akita,"humorous, inspirational, joy, sorrow, suffering"
"History's got no bows on it, only frayed ends of ribbons and knots that can't be untied.","Orson Scott Card, Alvin Journeyman",history
Love is what we are born with. Fear is what we learn.,Marianne Williamson,"born, fear, learning, love"
The first qualification for a historian is to have no ability to invent.,Stendhal,history
"Disappointment over love affairs generally has the effect of driving men to drink, and women to ruin; and this, because most people never learn the art of transmuting their strongest emotions into dreams of a constructive nature.","Napoleon Hill, Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century","brain, inspirational, mind, power, self-help"
The way you see people is the way you treat them and the way you treat them is what they become.,Johann Wolfgang von Goethe,"philosophy, wisdom"
Other people's eyes are limitless and that's what scares me.,"Sophie Kinsella, Finding Audrey","beautiful, eyes, love, people, story"
Sometimes people outside of your people act more like your people than your people.,Curtis Tyrone Jones,"compassion, inspirational, kindness, life-lessons, life"
Romantic love allows you to focus mating energy. Attachment sustains that relationship as long as necessary to raise your baby.,Helen Fisher,"love, relationship, focus "
Greatness has a fragrance. Get close to it and that fragrance will arouse your potential.,Mensah Oteh,"friendship, greatness, growth, influence, inspirational"
The quality of your life is a direct reflection of the quality of the decisions you make each day.,Mensah Oteh,"abundance, appreciation, celebration, dreams, friendship"
"As long as politics is the shadow of big business, the attenuation of the shadow will not change the substance.",John Dewey,"attenuation, big-business, business, corruption, politics"
"IF [GOD] HAS SPOKEN, WHY IS THE UNIVERSE NOT CONVINCED?","Percy Bysshe Shelley, The Necessity of Atheism","atheism, god"
"When you find out the field you were gifted, what you were created for, you will not have to work hard and sweat it out",Sunday Adelaja,"calling, gift, hard-work, potential, purpose"
"Great griefs exhaust. They discourage us with life. The man into whom they enter feels something taken from him. In youth, their visit is sad; later on, it is ominous.","Victor Hugo, Les Misérables","depression, grief"
"Be oblivious to city high-rises, work-related stress and microwave popcorn.","Fennel Hudson, Wild Carp - Fennel's Journal - No. 4","adventure, freedom, pressure, stress, stress-relief"
"After a good dinner one can forgive anybody, even one's own relations.","Oscar Wilde, A Woman of No Importance","family, food, thanksgiving"
"While sitting in the darkness in complete silence, I never realized how much there was to see and hear. There is sight and sound in darkness and silence. Learn to look and listen.",Bobby F. Kimbrough Jr.,"existence, god, midnight, motivation, spiritual"
Hope opens the door of opportunity and shines the way to possibilities.,Debasish Mridha,"debasish-mridha, hope, inspirational, opportunity, philosophy"
The power of a corrupt government is located in the ignorance and indifference of its people - rjs,rassool jibraeel snyman,"motivation, pholosophy, politics, power"
"When you put fear behind the wheel, you're bound to crash, but when you drive in faith the ride will be rough, but preceding into a journey of your lifetime.",Anthony Liccione,"crash, drive, faith, fear, journey"
"My dear young cousin, if there's one thing I've learned over the eons, it's that you can't give up on your family, no matter how tempting they make it.",Rick Riordan,family
"The world is your exercise book, the pages on which you do your sums. It is not reality, though you may express reality there if you wish. You are also free to write lies, or nonsense, or to tear the pages.","Richard Bach, Illusions: The Adventures of a Reluctant Messiah",inspirational
No counsel is more sincere than that given on ships which are in danger.,"Leonardo da Vinci, Thoughts on Art and Life",advice
Follow your heart. Then root its longing with the facts.,"Gina Greenlee, Postcards and Pearls: Life Lessons from Solo Moments on the Road"," inspirational, joseph-campbell, motivational"
Definitions from Mulla Do-Piaza. Worry: Something to make you unnecessarily ill.,"Idries Shah, Caravan of Dreams"," psychology, sufis, sufism, wisdom"
"Let certain things be uncertain.Appreciate the puzzle that life is,insofar as I know, after a scheme of steps,all Crosswords have a solution,and every Sudoku makes a lot of sense.",Jasleen Kaur Gumber,"answers, life, mystery, puzzles, solutions"
"As long as you're in the food business, why not make sweets?","Anne Frank, The Diary of a Young Girl","food, sweets, work"
"You thought too hard. Same with travel. You can't work too much at it, or it feels like work. You have to surrender yourself to the chaos. To the accidents.","Gayle Forman, Just One Day","travel, traveling, wanderlust"
One who is lost cannot show others the way.,Matshona Dhliwayo,"wisdom, wise, wise-sayings"
People Die...Beauty Fades...Love Changes...And You Will Always Be Alone,"L.J. Smith, Night World, No. 3","beautiful, creepy, dark, loneliness, love"
"Asia is an entertainment, Europe is a dream, America is an imprisonment and Rest is a nightmare.",Santosh Kalwar,"america, asia, countries, europe, funny"
someday i will walk under the soul-blossom tree with my hand eternally woven in yours.,Sanober  Khan,"blossoms, eternal, eternity, love, poetry"
"Even though we know we have to let you go, our hearts are singing the song no- no- no. We can’t let you go.",Debasish Mridha,"debasish-mridha, inspirational, letting-go, life-wisdom, philosophy"
"Only death consistently excites your emotions, whether contemplating when life is safe and stale, or fleeing it when life is threatened and precious","Yann Martel, Life of Pi","death, emotions"
Don't turn your back on your own happiness just to hug your pride.,"Nora Roberts, Enchanted","donovan, happiness, love, mrs-donovan, pride"
Strengthen yourself in the word of God.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","bible-study, christian, church, divine-self, faith"
The white flower of a blameless life.,Lord Alfred Tennyson,life
"How much others love you is not very important, but how much you love yourself will define your success.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"Yesterday was just the tip of the iceberg of awesomeness. Things will get better. Keep smiling, don't give up just yet. Perseverance has an amazing gift for you, just wait you see.",Janna Cachola,"awesome, be-awesome, goaldigger, goals, inspiration"
"The best lies are based on thetruth, at least in part","Cassandra Clare, Clockwork Angel","lies, truth"
"Artist is not human, but humanity.",Raheel Farooq,"art, artist, humanity"
"Ear demons are totally real,"" Cody said. ""They're what make microphones like these ones work. They're also what tell you to eat the last slice of pie when you know Tia wanted it.","Brandon Sanderson, Steelheart","awesome, funny, goofy, great-quote, hilarious"
Just because I like to suck cock doesn't make me any less American than Jesse Helms.,Allen Ginsberg,"gay, gay-rights, humor, oral-sex, politics"
Jealousy is love in competition.,"Toba Beta, My Ancestor Was an Ancient Astronaut","competition, jealousy, love"
"Often our self-esteem is tied to our work. In our culture, men and women often define themselves by the jobs they hold . . . But a person’s job tells you nothing about a person’s character or value.","Billy Graham, Billy Graham in Quotes","billy-graham, work"
Be yourself. That is where you should always be.,Debasish Mridha,"be-yourself, debasish-mridha, inspirational, philosophy, quotes"
For love to flourish there has to be trust. Promises don’t matter as much aspersonal choice.,"Ann Aguirre, Aftermath","choice, love, promise"
"To expand your wings, be persistent in learning new things.",Debasish Mridha,"be-persistant, debasish-mridha, inspirational, philosophy, quotes"
"The secret of happiness is freedom but to be totally free you need to earn: courage, persistence and boldness.",Santosh Kalwar,"freedom, inspirational"
"The evil that is in the world almost always comes of ignorance, and good intentions may do as much harm as malevolence if they lack understanding.",Albert Camus,"ignorance, evil, world "
"You can feel creative tension when you sense the freedom to be creative, the harmony not via compliance only, but through brainstorming.","Pearl  Zhu, Unpuzzling Innovation: Mastering Innovation Management in a Structural Way","brainstorming, creativity"
"Not until your heart and mind comes into a total agreement for the approval of your true purpose on earth, you shall least unleash your full energy and true strength to accomplish your true mission with enthusiasm and full tenacity.",Ernest Agyemang Yeboah,"double-minded, doubts, fear, risk"
Art  as far as it is able  follows nature  as a pupil imitates his master  thus your art must be  as it were  God's grandchild.,Dante Alighieri,art
Treasure the beauty of youthful life and the wisdom of adulthood.,Lailah Gifty Akita,"adult-humor, adulthood, beauty, life, wisdom-inspirational"
"When the uncertain future becomes the past, the past in turn becomes uncertain.","Mohsin Hamid, Moth Smoke","future, past, uncertainty"
Effort is the foundation of all achievements and is the single greatest competitive advantage and quality you must consistently apply to achieve your dreams.,"Mensah Oteh, The Good Life: Transform your life through one good day","abundance, accountability, action, appreciation, celebration"
Adversity gives life the thrill of adventure.,Debasish Mridha,"adversity, debasish-mridha, inspirational, philosophy, quotes"
fanaticism is the only way to put an end to the doubts that constantly trouble the human soul.,"Paulo Coelho, The Zahir","fanaticism, human, soul, the-zahir"
Sharing will enrich everyone with more knowledge.,Ana Monnar,"knowledge, learning, sharing"
It is only your dreams that will keep you alive.,"Lailah Gifty Akita, Think Great: Be Great!","dream, inspirational, motivation, positive-thinking, wise-words"
The essence of life is finding something you really love and then making the daily experience worthwhile.,Denis Waitley,"love, life, daily "
"We are told to let our light shine, and if it does, we won't need to tell anybody it does. Lighthouses don't fire cannons to call attention to their shining - they just shine.",Dwight L. Moody,"light, fire, shine "
"It was like being leaned on by a very heavy, warm brick. A sexy brick.","Patricia Briggs, Iron Kissed","funny, humour, paranormal-romance, romance, romantic"
People today are still living off the table scraps of the sixties. They are still being passed around - the music and the ideas.,Bob Dylan,"today, ideas, people "
"And now we who are writing women and strange monstersStill search our hearts to find the difficult answers,Still hope that we may learn to lay our handsMore gently and more subtly on the burning sands.","May Sarton, Selected Poems","feminism, poem, poetry, women, writers"
"To show our commitment to the future means to dedicate our time, efforts, resources, saving nature and to develop nice thoughts for better thinking.",Auliq Ice,"development, future, future-plans, inspiarational, inspirational"
A single recipe holds countless stories.,A.D. Posey,"ad-posey, countless, holds, inspirational, recipe"
"Place yourself in the middle of the stream of power and wisdom which animates all whom it floats, and you are without effort impelled to truth, to right and a perfect contentment.","Ralph Waldo Emerson, Spiritual Laws","contentment, happiness, philosophy, power, transcendentalism"
I need someone who is willing to watch me brave the ocean and then dare me not to drown.,"Colleen Hoover, Maybe Someday","colleen-hoover, independence, love, maybe-someday, relationships"
The most meaningful prayer is kindness.,Debasish Mridha,"debasish-mridha, inspirational, kindness, philosophy, prayer"
"Unfathomable mind: now beacon, now sea.","Samuel Beckett, Molloy, Malone Dies, The Unnamable",mind
Sometime they'll give a war and nobody will come.,Carl Sandburg,war
Platonic Love is a fool's name for the affection between a disability and a frost.,Ambrose Bierce,friends
"A single tiny light creates a space where darkness cannot exist. The light vanquishes the darkness. Try as it might, the darkness cannot conquer the light.","Donald L. Hicks, Look into the stillness","darkness, light"
Relatable escapism can only be achieved using facets of the real world.,Kevin Focke,"escapism, reading"
"Though you are as a drop in the ocean, without you, the universe would be empty.",Matshona Dhliwayo,"beauty, encourage, encouragement, hope-quotations, hope"
You may hear bad words but you always use soft words that carry the air of flowers!,Mehmet Murat ildan,words
I am a feminist because in every woman I can see reflection of my mother.,Debasish Mridha,"debasish-mridha, feminist, inspirational, philosophy, quotes"
What's another word for thesaurus?,Steven Wright,humor
Invest your time and add value to your life because that is the only way to greatness.,"Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","calling, conversion, convert, gift, great"
Notice how extraordinary your life truly is. It’s filled with love. Open your heart to it.,"Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life"," appreciating-life, appreciation, inspirational, joyful-living, life"
Life is not so short but that there is always time enough for courtesy.,Ralph Waldo Emerson,freedom
Once you figure out what you want in life—expect nothing less.,"Lorii Myers, Make It Happen, A Healthy, Competitive Approach to Achieving Personal Success","inspirational, life, motivational, success"
A Christian is the person who studies the life of Christ and carries His image in himself in order to be like Him,Sunday Adelaja,"christian, himself, order, person"
"Empathy? What’s that?” Glokta winced as he rubbed at his aching leg. “It’s a sad fact, but pain only makes you sorry for yourself.","Joe Abercrombie, Before They Are Hanged","empathy, pain"
"It is only once you see the baffled expression on the face of your enemy when you give his cruel words a warm smile that you’ll understand, truly understand, what love is all about.","Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness","compassion, enemy, kindness, love"
"Wherever there is a settled society, religion is necessary; the laws cover manifest crimes, and religion covers secret crimes.",Voltaire,"society, laws, secret "
"Time waits for no man""That is what they say.That is why our time spent together,is so special in so, so many ways.",Anthony T Hincks,"love, man, no-man, philosophy, say"
"So, what if, instead of thinking about solving you whole life, you just think about adding additional good things. One at a time. Just let your pile of good things grow.","Rainbow Rowell, Attachments","life, personal-growth"
Almost everything carried to its logical extreme becomes either depressing or carcinogenic.,Ursula K. Le Guin,"depression, logic, science-fiction"
"As Moses threw whatever in his hand on the ground,so does hand should do what it can to earn miracles.","Toba Beta, My Ancestor Was an Ancient Astronaut","do, favor, god, hand, miracle"
"Indeed, of the major religions, Islam offers no discernible sliver of valid notion for How Life Works.","Thomas Daniel Nehrer, Essence of Reality: A Clear Awareness of How Life Works"," consciousness, philosophy"
"For most of the people there is no today and there is no tomorrow; for them, there is only the past times! Leave your past to live your today and to live your tomorrow!",Mehmet Murat ildan,past
"The words were good words, Ulysses felt, maybe even great words, but the list was very incomplete. He was just getting started. The words needed to be arranged, fussed with, put in the order of his heart.","Kate DiCamillo, Flora and Ulysses: The Illuminated Adventures","heart, poetry, words, writing"
"No jewels, save my eyes, do I own, but I have a rose which is even softer than my rosy lips. And a quiet youth said: 'There is nothing softer than your heart.' And I lowered my gaze...",Vladimir Nabokov,"poetry, vulnerability"
What destroys us most effectively is not a malign fate but our own capacity for self-deception and for degrading our own best self.,"George Eliot, Adam Bede",self
"There are moments of existence when time and space are more profound, and the awareness of existence is immensely heightened.",Charles Baudelaire,"time, moments, profound "
It is the uncertainty of life that fills life with magnificence and beauty.,Debasish Mridha," debasish-mridha, inspirational, life, philosophy, quotes"
"‎By reacting from fear instead of responding from love, you inject poison directly into the veins of your relationship.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","fear, inspirational, love, motivational, poison"
I am loving. I am forgiving.I am at peace.,Debasish Mridha,"debasish-mridha, inspirational, miraboli, philosophy, quotes"
Even freed men will do what they must in Rome.,"Katlyn Charlesworth, While Rome Burned","ancient-rome, freedom, murder, power"
Poetry of the universe is written with flowers and the lights of love on a canvas we call earth.,Debasish Mridha,"debasish-mridha, earth, inspirational, love, philosophy"
...even misplaced faith can help us gain knowledge. We try to be smart about where we put our faith and we adjust as we learn more.,"Brandon Mull, Chasing the Prophecy","adjusting, doubt, faith, learning"
"It's all very well to tell us to forgive our enemies; our enemies can never hurt us very much. But oh, what about forgiving our friends?","Willa Cather, My Mortal Enemy","forgiveness, friendship"
Death is not the end of life but the beginning of eternal life.,Debasish Mridha,"death, debasish-mridha, eternal-life, philosophy"
"Have I told you I love you?"" he whispers.I smile. ""Not since this morning.""""Unforgivable. I will tell you every hour of every day.","Jessica Khoury, The Forbidden Wish","aladdin, cute, humor, zahra"
"Entrepreneur, if your going to start up, make sure you start up with excellence in mind.",Onyi Anyado,"business, business, distinction, entrepreneur, entrepreneurship"
"The writer's secret is not inspiration - for it is never clear where it comes from - it is his stubbornness, his patience.",Orhan Pamuk,"inspiration, never, secret "
It is not enough to be busy so are the ants. The question is: What are we busy about? ,Henry David Thoreau,"busy, goals, life, success, work"
God holds the key to every door.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","christian-life, faith, god, good-thought, hope"
"Dogs do not have many advantages over people, but one of them is extremely important: euthanasia is not forbidden by law in their case; animals have the right to a merciful death.","Milan Kundera, The Unbearable Lightness of Being","animal-rights, animals, death, euthanasia, human-rights"
I had killed our careful relationship by driving my tongue through its heart and pushing it off a cliff.,"Jeff Lindsay, Darkly Dreaming Dexter","cliff, heart, killed, relationship, tongue"
Friendship is almost always the union of a part of one mind with a part of another  people are friends in spots.,George Santayana,friendship
"Mind is not your brain, but mind is subtle clothing that is spread over your entire physical body and doesn’t limit itself only with the physical part of the brain.",Roshan Sharma,"brain, faith, god, mind, successful"
My father is an amazing man.,Sherman Alexie,"father, man "
"In your journey of life, stick to relevance, don’t stay stuck! Keep improving yourself until your opportunity comes.",Bidemi Mark-Mordi,"life, opportunity, sucess"
An ounce of wisdom is worth more than a pound of knowledge.,Matshona Dhliwayo,"guru, knowledge, learning, life-quotations, life-quote"
"I'm sorry I left without telling you,"" she says. ""I wasn't ready. I wanted it so much, and I wasn't ready for that.","Nina LaCour, You Know Me Well","drama, girls, love, romance"
The world is full enough of hurts and mischances without wars to multiply them.,"J.R.R. Tolkien, The Return of the King",war
"Believe in miracles as if there's no work, but work as if there are no miracles. When miracles and hard work come together success is certain.",Val Uchendu,"believe, miracle, success, work-hard, work"
Leadership does not always wear the harness of compromise.,Woodrow Wilson,"compromise, leadership"
You are most beautiful when your eyes are glowing with kindness and joy.,Debasish Mridha,"beautiful, debasish-mridha, eyes-glowing, joy, kindness"
To be creative you must set aside both certainty and doubt.,"Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future","creativity, digital-thinking, mindset"
"My whole life was about her, what if her whole life wasn’t all about me?","Jodi Picoult, The Pact","love, obsession"
Marriage is the harmony of God synchronizing two wills with the will of the Father.,"Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love","desire, god, harmony, marriage, submission"
"Dear and most respected bookcase! I welcome your existence, which has for over one hundred years been devoted to the radiant ideals of goodness and justice.",Anton Chekhov,books
"Your calling is important, regardless of its status or other people’s opinion",Sunday Adelaja,"calling, distraction, fulfillment, purpose, service"
Happiness is surrounding yourself only with those who bestow their unconditional love and support.,Ken Poirot," bestow, bestow-quote, bestow, happiness, happiness-quote"
"I have always thought that all philosophical debates are ultimately between the partisans of structure and the partisans of ""goo.","Alan W. Watts, The Essential Alan Watts",philosophy
And courage to me meant ploughing through that dull gray mist that comes down on life--not only overriding people and circumstances but overriding the bleakness of living.,"F. Scott Fitzgerald, The Offshore Pirate","beautiful, courage, life, thought-provoking"
"My best friend is me, and I take good care of me.",Diane von Furstenberg,"good, best friend, me "
Take the risk! You will find the right road.,Lailah Gifty Akita,"chances, inspiration, right-road, risk"
"If you would convince a man that he does wrong, do right. But do not care to convince him. Men will believe what they see. Let them see.",Henry David Thoreau,"example, leadership, morality, right, righteousness"
"If you have enjoyed something, but have never experienced joy, then u have not really been happy",Sunday Adelaja,"calling, fulfillment, happiness, joy, purpose"
"As soon as you see the need to change your partner to save the relationship, it is then time to end it.",Charles F. Glassman,"change, inspirational, personal-growth, relationship-advice, relationship"
Never confuse belief with knowledge.,Abhijit Naskar,"belief, belief, belief-system, knowledge, knowledge"
"You never go away from us, yet we have difficulty in returning to You. Come, Lord, stir us up and call us back. Kindle and seize us. Be our fire and our sweetness. Let us love. Let us run.","Augustine of Hippo, Confessions","love, worship"
Strange to hear atheists say 'god' when having great sex.,"Toba Beta, Master of Stupidity","atheist, religion, sex"
Silence is a lie that screams at the light.,Shannon L. Alder,"anger, anxiety, awaken, awakening, belief"
Worries and sufferings are helpful for (one’s) spiritual development.,Dada Bhagwan,"help, spiritual, spiritual, suffering, worries"
Boredom always precedes a period of great creativity.,Robert M. Pirsig,"creativity, boredom, always "
"You see, the mailman saw your husband during one of his walks.""""He's my fiancé,"" I told her. ""We are living in sin.""Heather blinked, momentarily knocked off her stride, but recovered. ""Oh, that's nice.""""It's very nice. I highly recommend it.","Ilona Andrews, Magic Shifts","humor, irony, kate-daniels, marital-bliss, neigbors"
Bitterness leads to brokenness in spirit.,Lailah Gifty Akita,"bitterness, broken-heart, healing, healthy-habit, inspirational"
A man without regrets cannot be cured.,"Aristotle, The Nicomachean Ethics","conversion, education, redemption, regret, virtue"
Ever let the Fancy roam  Pleasure never is at home.,John Keats,imagination
"I want your hand without the skin. Bone to bone without the molds. Mouth to mouth, without the porn.",Coco J. Ginger,"hands, life, love, love-story, lover"
Let me not fear adversity.,Debasish Mridha,"adversity, debasish-mridha, inspirational, philosophy, quotes"
"Abundance does not come in packages, it comes from the happiness within.",Stephen Richards,"abundance-creation, believe, capabilities, confidence, cosmic-ordering"
Hope is the word which God has written on the brow of every man.,Victor Hugo,hope
Talk to a man about himself and he will listen for hours.,Benjamin Disraeli,man
"I don’t own anything, but I have everything.",Debasish Mridha,"debasish-mridha, inspirational, personal-wealth, philosophy, quotes"
Keep on questioning. Keep on searching.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","asking, christian-living, christian, determination, enthusiastic"
"Offer yourself forgiveness as a gift. The word ‘give’ is the basic keyword in the word forgiveness, therefore it relays a meaning therein.","Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow","empowering, forgive, forgiven, forgiveness, mental-abuse"
If I see darkness in the Church I bring light to it.,Sunday Adelaja,"church, darkness, light"
Love is a contact sport you were born to win.,Suzette R. Hinton,"inspirational-love, love, sport, win"
"Love is like a season,it ebbs and it flows,sometimes we're like Summer, Fall and Winter,but it's Spring that I long to know.",Anthony T Hincks,"autumn, fall, know, love, philosophy"
You are having a bad day? Remember it could always be worse... It could be me having a bad day!,"Mark W. Boyer, Domestic Vigilance: One Nation"," humor-inspirational, positive, positive-thoughts, selfishness"
Our computers have become windows through which we can gaze upon a world that is virtually without horizons or boundaries.,Joseph B. Wirthlin,"world, windows, through "
"When I get ready to talk to people, I spend two thirds of the time thinking what they want to hear and one third thinking about what I want to say.",Abraham Lincoln,"empathy, political-advice, politics, talking, thinking"
The consistent thinker ... is either a walking mummy or else  if he has not succeeded in stifling all his vitality  a fanatical monomaniac.,Aldous Huxley,"creating, positive, change"
"To change ourselves effectively, we first had to change our perceptions.","Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","change, perception"
